genus,species,REG_NAME,REG_NUM,NOTE,NOTE2,Source
Heteropogon,contortus,Hawaii,12,TRUE,Oahu,Arram
Erythrina,sandwicensis,Hawaii,12,TRUE,Oahu,Arram
Metrosideros,polymorpha,Hawaii,12,TRUE,Oahu,Arram
Coprosma,montana,Hawaii,12,TRUE,Oahu,Arram
Osteomeles,anthylidifolia,Hawaii,12,TRUE,Oahu,Arram
Andropogon,gerardii,South Atlantic-Gulf,2,TRUE,Piedmont Province,Touloupas
Tridens,flavus,South Atlantic-Gulf,2,TRUE,Piedmont Province,Touloupas
Elymus,virginicus,South Atlantic-Gulf,2,TRUE,Piedmont Province,Touloupas
Sorghastrum,nutans,South Atlantic-Gulf,2,TRUE,Piedmont Province,Touloupas
Panicum,virgatum,South Atlantic-Gulf,2,TRUE,Piedmont Province,Touloupas
Schizachyrium,scoparium,South Atlantic-Gulf,2,TRUE,Piedmont Province,Touloupas
Asclepias,tuberosa,South Atlantic-Gulf,2,TRUE,Piedmont Province,Touloupas
Rudbeckia,hirta,South Atlantic-Gulf,2,TRUE,Piedmont Province,Touloupas
Coreopsis,lanceolata,South Atlantic-Gulf,2,TRUE,Piedmont Province,Touloupas
Solidago,spp.,South Atlantic-Gulf,2,TRUE,Piedmont Province,Touloupas
Andropogon,ternarius,South Atlantic-Gulf,2,OVERFLOW,Piedmont Province,Touloupas
Andropogon,virginicus,South Atlantic-Gulf,2,OVERFLOW,Piedmont Province,Touloupas
Agrostis,spp.,South Atlantic-Gulf,2,OVERFLOW,Piedmont Province,Touloupas
Chamaecrista,fasciculata,South Atlantic-Gulf,2,OVERFLOW,Piedmont Province,Touloupas
Lespedeza,capitata,South Atlantic-Gulf,2,OVERFLOW,Piedmont Province,Touloupas
Mondarda,spp.,South Atlantic-Gulf,2,OVERFLOW,Piedmont Province,Touloupas
